Time,Query 1,Query 2,Query 3,Query 4,Query 5,Query 6,Query 7,Query 8,Query 9,Query 10,Query 11
2024-12-02T22:44:40.785Z,132503,152675,65379,64930,54601,58801,55888,63423,65273,60019,1065785
2024-12-02T23:19:46.471Z,139639,147876,64328,64078,54664,57952,57540,58117,62926,57819,1063070
2024-12-02T23:51:21.216Z,140608,149247,63613,67290,59592,64557,62775,65714,67558,59394,1093089
2024-12-03T00:23:04.847Z,139681,148327,66495,68715,61858,59426,62344,66265,67449,61493,1100291
2024-12-03T00:54:17.937Z,140645,146843,63780,64411,58279,55789,60177,63070,62071,59627,1097068
2024-12-03T01:25:29.431Z,138277,146149,64679,65399,59377,57062,60462,62713,65884,60853,1089312
2024-12-03T01:57:15.889Z,140567,149928,68194,69871,63025,63193,62296,62498,67763,62672,1095170
2024-12-03T02:28:21.313Z,139607,149496,69181,68782,62536,62049,62192,65826,63394,60821,1060227
2024-12-03T03:00:03.387Z,141017,153224,68380,65326,62533,62679,62841,65741,67263,59358,1092424
2024-12-03T03:31:45.945Z,143777,151874,67520,68482,59930,63411,62604,66151,66863,58884,1091759
Average (ms),139632.1,149563.9,66154.9,66728.4,59639.5,60491.9,60911.9,63951.8,65644.4,60094,1084819.5
Average (min),2.33,2.49,1.1,1.11,0.99,1.01,1.02,1.07,1.09,1,18.08